FPR,TPR
3.107246458530426025e-01,5.961476564407348633e-01
3.132102191448211670e-01,4.037176966667175293e-01
3.154274225234985352e-01,4.037135839462280273e-01
3.175083994865417480e-01,5.014025568962097168e-01
3.198618292808532715e-01,4.037053287029266357e-01
3.220790326595306396e-01,4.037011861801147461e-01
3.241600096225738525e-01,5.013901591300964355e-01
3.265175521373748779e-01,4.007325470447540283e-01
3.284622430801391602e-01,5.961146354675292969e-01
3.308115899562835693e-01,5.013777613639831543e-01
3.330287933349609375e-01,5.013736486434936523e-01
3.353822231292724609e-01,4.036764204502105713e-01
3.375994265079498291e-01,4.036722779273986816e-01
3.398166298866271973e-01,4.036681652069091797e-01
3.418976068496704102e-01,5.013571381568908691e-01
3.441148102283477783e-01,5.013529658317565918e-01
3.463320136070251465e-01,5.013488531112670898e-01
3.484170734882354736e-01,5.960775017738342285e-01
3.506342768669128418e-01,5.960733294486999512e-01
3.527358770370483398e-01,6.789603233337402344e-01
3.552008271217346191e-01,5.013323426246643066e-01
3.578309118747711182e-01,2.052885293960571289e-01
3.598209917545318604e-01,3.681062459945678711e-01
3.622735440731048584e-01,1.993594765663146973e-01
3.642306327819824219e-01,3.858603537082672119e-01
3.664519488811492920e-01,3.828958272933959961e-01
3.686443865299224854e-01,4.006541073322296143e-01
3.708781003952026367e-01,3.888083696365356445e-01
3.733513057231903076e-01,2.052596211433410645e-01
3.753331601619720459e-01,3.739981353282928467e-01
3.779260814189910889e-01,1.045978590846061707e-01
3.800111711025238037e-01,1.993264406919479370e-01
3.823604881763458252e-01,1.045896038413047791e-01
3.845776915550231934e-01,1.045854687690734863e-01
3.866586387157440186e-01,2.022744566202163696e-01
3.886033296585083008e-01,3.976565301418304443e-01
3.910971581935882568e-01,1.993057876825332642e-01
3.935868442058563232e-01,3.915450070053339005e-03
3.952590525150299072e-01,3.946837484836578369e-01
3.973358869552612305e-01,4.953331351280212402e-01
3.999659717082977295e-01,1.992892771959304810e-01
4.017744064331054688e-01,4.923644661903381348e-01
4.037025868892669678e-01,6.995881199836730957e-01
4.066093266010284424e-01,2.051976919174194336e-01
4.086902737617492676e-01,3.028866648674011230e-01
4.107753336429595947e-01,3.976152241230010986e-01
4.129595160484313965e-01,4.212943017482757568e-01
4.152056276798248291e-01,4.005673825740814209e-01
4.174063205718994141e-01,4.124048352241516113e-01
4.199166595935821533e-01,2.022125124931335449e-01
4.218530654907226562e-01,4.035153985023498535e-01
4.240702688694000244e-01,4.035112559795379639e-01
4.262916147708892822e-01,4.005467593669891357e-01
4.279555380344390869e-01,7.972358465194702148e-01
4.303089976310729980e-01,6.995385885238647461e-01
4.323940873146057129e-01,7.942671179771423340e-01
4.348796606063842773e-01,6.018372178077697754e-01
4.370968639850616455e-01,6.018331050872802734e-01
4.390456974506378174e-01,7.942547798156738281e-01
4.415312707424163818e-01,6.018248200416564941e-01
4.436122179031372070e-01,6.995137929916381836e-01
4.461060762405395508e-01,5.011630654335021973e-01
4.479062557220458984e-01,8.001590967178344727e-01
4.505982697010040283e-01,4.597092866897583008e-01
4.528938829898834229e-01,4.034575819969177246e-01
4.551110863685607910e-01,4.034534692764282227e-01
4.569154083728790283e-01,6.994890570640563965e-01
4.593638479709625244e-01,5.337026715278625488e-01
4.614860713481903076e-01,6.017876863479614258e-01
4.638973474502563477e-01,4.626448750495910645e-01
4.659246206283569336e-01,5.988190174102783203e-01
4.684143066406250000e-01,4.034286737442016602e-01
4.705283045768737793e-01,4.774344861507415771e-01
4.727537631988525391e-01,4.715095460414886475e-01
4.747975468635559082e-01,5.958421230316162109e-01
4.771675169467926025e-01,4.863032996654510498e-01
4.795044660568237305e-01,4.004476666450500488e-01
4.817216694355010986e-01,4.004435241222381592e-01
4.842113554477691650e-01,2.050531804561614990e-01
4.861601591110229492e-01,3.974748551845550537e-01
4.883732497692108154e-01,4.004311561584472656e-01
4.905904531478881836e-01,4.004270136356353760e-01
4.927415847778320312e-01,4.477892220020294189e-01
4.947440922260284424e-01,6.017257571220397949e-01
4.969695508480072021e-01,5.958008766174316406e-01
4.994633793830871582e-01,3.974500894546508789e-01
5.013998150825500488e-01,5.987529754638671875e-01
5.037491321563720703e-01,5.040161609649658203e-01
5.061149597167968750e-01,3.974376916885375977e-01
5.081670284271240234e-01,5.158494710922241211e-01
5.103842020034790039e-01,5.158453583717346191e-01
5.125932097434997559e-01,5.217620134353637695e-01
5.148227810859680176e-01,5.128766894340515137e-01
5.174776315689086914e-01,1.990704536437988281e-01
5.193273425102233887e-01,4.625416696071624756e-01
5.214579105377197266e-01,5.247058868408203125e-01
5.235718488693237305e-01,5.987116694450378418e-01
5.260615944862365723e-01,4.033213257789611816e-01
5.280970931053161621e-01,5.335747003555297852e-01
5.303184390068054199e-01,5.306102037429809570e-01
5.324819684028625488e-01,5.690912008285522461e-01
5.346991419792175293e-01,5.690870881080627441e-01
5.369617938995361328e-01,5.365185737609863281e-01
5.391706824302673340e-01,5.424352884292602539e-01
5.411691069602966309e-01,6.993321180343627930e-01
5.437991619110107422e-01,4.032883048057556152e-01
5.457397699356079102e-01,6.016308069229125977e-01
5.482335686683654785e-01,4.032800495624542236e-01
5.503475666046142578e-01,4.772858321666717529e-01
5.524532794952392578e-01,5.572124719619750977e-01
5.546663403511047363e-01,5.601687431335449219e-01
5.569950342178344727e-01,4.802338778972625732e-01
5.590512156486511230e-01,5.956852436065673828e-01
5.612642765045166016e-01,5.986415147781372070e-01
5.634814500808715820e-01,5.986374020576477051e-01
5.656986832618713379e-01,5.986332297325134277e-01
5.679323673248291016e-01,5.867875218391418457e-01
5.701330900192260742e-01,5.986250042915344238e-01
5.723461508750915527e-01,6.015812158584594727e-01
5.748482346534729004e-01,3.973096907138824463e-01
5.770654082298278809e-01,3.973055779933929443e-01
5.792744159698486328e-01,4.032222330570220947e-01
5.814998149871826172e-01,3.972973227500915527e-01
5.837088227272033691e-01,4.032139778137207031e-01
5.863429903984069824e-01,1.042097508907318115e-01
5.881473422050476074e-01,4.002453386783599854e-01
5.906370282173156738e-01,2.048549950122833252e-01
5.923133492469787598e-01,5.926628708839416504e-01
5.950714349746704102e-01,2.048467397689819336e-01
5.969004631042480469e-01,4.831199347972869873e-01
5.996462106704711914e-01,1.041849777102470398e-01
6.013225317001342773e-01,4.919928610324859619e-01
6.036677360534667969e-01,4.002164304256439209e-01
6.061656475067138672e-01,1.989053040742874146e-01
6.083746552467346191e-01,2.048219740390777588e-01
6.104555726051330566e-01,3.025109469890594482e-01
6.128090620040893555e-01,2.048137187957763672e-01
6.172475814819335938e-01,2.018450498580932617e-01
6.193243861198425293e-01,3.024944365024566650e-01
6.214053630828857422e-01,4.001834094524383545e-01
6.237587928771972656e-01,3.024861812591552734e-01
6.258355975151062012e-01,4.031355381011962891e-01
6.280528306961059570e-01,4.031314253807067871e-01
6.302741169929504395e-01,4.001668989658355713e-01
6.324913501739501953e-01,4.001627564430236816e-01
6.347044110298156738e-01,4.031190276145935059e-01
6.369216442108154297e-01,4.031148850917816162e-01
6.388663053512573242e-01,5.984969735145568848e-01
6.410835385322570801e-01,5.984928607940673828e-01
6.433048248291015625e-01,5.955283641815185547e-01
6.455138325691223145e-01,6.014450192451477051e-01
6.477351188659667969e-01,5.984804630279541016e-01
6.499482393264770508e-01,6.014367341995239258e-01
6.521654129028320312e-01,6.014326214790344238e-01
6.543826460838317871e-01,6.014285087585449219e-01
6.565998196601867676e-01,6.014243364334106445e-01
6.588169932365417480e-01,6.014202237129211426e-01
6.610424518585205078e-01,5.954953432083129883e-01
6.632596254348754883e-01,5.954911708831787109e-01
6.654686331748962402e-01,6.014078259468078613e-01
6.676858067512512207e-01,6.014037132263183594e-01
6.699030399322509766e-01,6.013996005058288574e-01
6.721202135086059570e-01,6.013954281806945801e-01
6.743374466896057129e-01,6.013913154602050781e-01
6.765546202659606934e-01,6.013872027397155762e-01
6.787718534469604492e-01,6.013830900192260742e-01
6.809972524642944336e-01,5.954581499099731445e-01
6.832144856452941895e-01,5.954540371894836426e-01
6.854234337806701660e-01,6.013706922531127930e-01
6.876406669616699219e-01,6.013665199279785156e-01
6.898578405380249023e-01,6.013624072074890137e-01
6.920750141143798828e-01,6.013582944869995117e-01
6.942922472953796387e-01,6.013541817665100098e-01
6.965094208717346191e-01,6.013500094413757324e-01
6.987266540527343750e-01,6.013458967208862305e-01
7.009520530700683594e-01,5.954210162162780762e-01
7.031692862510681152e-01,5.954169034957885742e-01
7.053782343864440918e-01,6.013334989547729492e-01
7.075954675674438477e-01,6.013293862342834473e-01
7.098126411437988281e-01,6.013252735137939453e-01
7.120298743247985840e-01,6.013211011886596680e-01
7.142470479011535645e-01,6.013169884681701660e-01
7.164642810821533203e-01,6.013128757476806641e-01
7.186814546585083008e-01,6.013087630271911621e-01
7.209068536758422852e-01,5.953838229179382324e-01
7.231240868568420410e-01,5.953797101974487305e-01
7.253330349922180176e-01,6.012963652610778809e-01
7.275502681732177734e-01,6.012922525405883789e-01
7.297674417495727539e-01,6.012880802154541016e-01
7.319846749305725098e-01,6.012839674949645996e-01
7.342018485069274902e-01,6.012798547744750977e-01
7.364190816879272461e-01,6.012757420539855957e-01
7.386403679847717285e-01,5.983111858367919922e-01
7.408617138862609863e-01,5.953466892242431641e-01
7.430788874626159668e-01,5.953425765037536621e-01
7.452920079231262207e-01,5.982987880706787109e-01
7.475050687789916992e-01,6.012550592422485352e-01
7.497223019599914551e-01,6.012509465217590332e-01
7.519394755363464355e-01,6.012468338012695312e-01
7.541566491127014160e-01,6.012426614761352539e-01
7.563738822937011719e-01,6.012385487556457520e-01
7.585951685905456543e-01,5.982740521430969238e-01
7.608165144920349121e-01,5.953095555305480957e-01
7.630254626274108887e-01,6.012261509895324707e-01
7.652426958084106445e-01,6.012220382690429688e-01
7.674598693847656250e-01,6.012179255485534668e-01
7.696771025657653809e-01,6.012137532234191895e-01
7.718942761421203613e-01,6.012096405029296875e-01
7.741115093231201172e-01,6.012055277824401855e-01
7.766053080558776855e-01,4.028547704219818115e-01
7.788307666778564453e-01,3.969298601150512695e-01
7.813163399696350098e-01,2.044999301433563232e-01
7.832610607147216797e-01,3.998820185661315918e-01
7.856144905090332031e-01,3.021847605705261230e-01
7.876995205879211426e-01,3.969133496284484863e-01
7.903255224227905273e-01,1.038298979401588440e-01
7.921298146247863770e-01,3.998655080795288086e-01
7.944833040237426758e-01,3.021682500839233398e-01
7.964485883712768555e-01,4.827483296394348145e-01
7.987855672836303711e-01,3.968926966190338135e-01
8.008788824081420898e-01,4.857004880905151367e-01
8.029392361640930176e-01,5.981914401054382324e-01
8.057096600532531738e-01,2.014941126108169556e-01
8.079227805137634277e-01,2.044503837823867798e-01
8.101440668106079102e-01,2.014858573675155640e-01
8.123571872711181641e-01,2.044421136379241943e-01
8.145743608474731445e-01,2.044379860162734985e-01
8.165190219879150391e-01,3.998200893402099609e-01
8.190169930458068848e-01,1.985089331865310669e-01
8.209493160247802734e-01,4.027722179889678955e-01
8.228940367698669434e-01,5.981543064117431641e-01
8.251112103462219238e-01,5.981501936912536621e-01
8.273284435272216797e-01,5.981460213661193848e-01
8.295456171035766602e-01,5.981419086456298828e-01
8.317628502845764160e-01,5.981377959251403809e-01
8.339800238609313965e-01,5.981336832046508789e-01
8.362013697624206543e-01,5.951691269874572754e-01
8.385506868362426758e-01,5.004322528839111328e-01
8.407679200172424316e-01,5.004281401634216309e-01
8.428488373756408691e-01,5.981171727180480957e-01
8.450660705566406250e-01,5.981130003929138184e-01
8.472832441329956055e-01,5.981088876724243164e-01
8.495004177093505859e-01,5.981047749519348145e-01
8.517176508903503418e-01,5.981006622314453125e-01
8.539348244667053223e-01,5.980964899063110352e-01
8.561520576477050781e-01,5.980923771858215332e-01
8.585054874420166016e-01,5.003951191902160645e-01
8.607227206230163574e-01,5.003909468650817871e-01
8.628077507019042969e-01,5.951195955276489258e-01
8.650249838829040527e-01,5.951154828071594238e-01
8.672421574592590332e-01,5.951113700866699219e-01
8.694593906402587891e-01,5.951071977615356445e-01
8.716765642166137695e-01,5.951030850410461426e-01
8.738937973976135254e-01,5.950989723205566406e-01
8.762431144714355469e-01,5.003620982170104980e-01
8.785965442657470703e-01,4.026648700237274170e-01
8.806775212287902832e-01,5.003538131713867188e-01
8.827625513076782227e-01,5.950824618339538574e-01
8.849797844886779785e-01,5.950782895088195801e-01
8.871969580650329590e-01,5.950741767883300781e-01
8.894141912460327148e-01,5.950700640678405762e-01
8.916313648223876953e-01,5.950659513473510742e-01
8.938485980033874512e-01,5.950617790222167969e-01
8.961979150772094727e-01,5.003249049186706543e-01
8.985514044761657715e-01,4.026277065277099609e-01
9.005001783370971680e-01,5.950494408607482910e-01
9.027174115180969238e-01,5.950452685356140137e-01
9.049345850944519043e-01,5.950411558151245117e-01
9.071518182754516602e-01,5.950370430946350098e-01
9.093689918518066406e-01,5.950328707695007324e-01
9.115861654281616211e-01,5.950287580490112305e-01
9.138033986091613770e-01,5.950246453285217285e-01
9.162889719009399414e-01,4.025946557521820068e-01
9.185062050819396973e-01,4.025905430316925049e-01
9.204549789428710938e-01,5.950122475624084473e-01
9.226722121238708496e-01,5.950081348419189453e-01
9.248893857002258301e-01,5.950040221214294434e-01
9.271066188812255859e-01,5.949998497962951660e-01
9.293237924575805664e-01,5.949957370758056641e-01
9.315410256385803223e-01,5.949916243553161621e-01
9.337581992149353027e-01,5.949875116348266602e-01
9.362438321113586426e-01,4.025574922561645508e-01
9.384610056877136230e-01,4.025533795356750488e-01
9.404098391532897949e-01,5.949751138687133789e-01
9.426270127296447754e-01,5.949709415435791016e-01
9.448441863059997559e-01,5.949668288230895996e-01
9.470614194869995117e-01,5.949627161026000977e-01
9.492785930633544922e-01,5.949586033821105957e-01
9.514958262443542480e-01,5.949544310569763184e-01
9.537129998207092285e-01,5.949503183364868164e-01
9.561986327171325684e-01,4.025203585624694824e-01
9.584158062934875488e-01,4.025162160396575928e-01
9.603646397590637207e-01,5.949379205703735352e-01
9.625818133354187012e-01,5.949338078498840332e-01
9.647990465164184570e-01,5.949296951293945312e-01
9.670162200927734375e-01,5.949255228042602539e-01
9.692334532737731934e-01,5.949214100837707520e-01
9.714506268501281738e-01,5.949172973632812500e-01
9.737999439239501953e-01,5.001804232597351074e-01
9.761534333229064941e-01,4.024831950664520264e-01
9.783747196197509766e-01,3.995186686515808105e-01
9.805878400802612305e-01,4.024749398231506348e-01
9.828050136566162109e-01,4.024707973003387451e-01
9.854392409324645996e-01,1.034665629267692566e-01
9.872394204139709473e-01,4.024625420570373535e-01
9.894566535949707031e-01,4.024584293365478516e-01
9.916738271713256836e-01,4.024542868137359619e-01
9.936226606369018555e-01,5.948759913444519043e-01
9.959884881973266602e-01,4.882975518703460693e-01
9.986020922660827637e-01,2.040953040122985840e-01
